description,score,max
code inspection,173,275
bonus,0,0
Bazaar/Client/client.pp exists,5,5
Bazaar/Server/server.pp exists,5,5
"[0-9]-{in,out}.json exists",0,5
student tests passes instructor executable,0,100
student executable passes instructor tests,0,100
xgames-resources exists,0,5
Bazaar/Client/referee.pp exists,0,5
Bazaar/Server/player.pp exists,0,5
total,183,505
